condition,generation_seed,question_index,question_sha256,elapsed_seconds,generated_tokens,target_calls,drafted_tokens,accepted_draft_tokens,gamma_matched_blocks,gamma_matched_output_tokens,speed_numerator_tokens,gamma_weighted_seconds,continuation_last_number_correct,native_parser_correct,reached_cap,source_row_sha256
benign,2027,10,e526372b2e960c6d1575e76cca4759a9c393a66949d1fd1a727a3ff239b13f03,20.56321954727173,163,28,267,135,26,158,163,19.932445941527195,1,1,0,bba8e60fcc86a192920fe929a2cc5186decefa51d747efbb7bcc975305a4607f
benign,2027,11,cd592c76560429690583f9a79b8a7c0c6ea234b4053d964b41323a6eb2dac2cf,15.840936660766602,158,21,210,137,21,158,158,15.840936660766602,1,1,0,b5ed0716aabf03815f65e2b6471afa6a20415323fb80b3b3ff22315d5c045338
benign,2027,12,4451889603253c7c1ec40de0f19ef03b7f718c15b9e130df18b15f07f5141b36,28.373397827148438,215,38,374,177,37,211,215,27.84552065827126,0,0,0,16dac4783bd8e34ae7f8df237b8068fda2636d41b3ccfadd0d82840bb822d900
benign,2027,13,0f494281748adc026d7361db6898808fd97dfe58ffa65f7b91193bfa437474e9,54.830467224121094,489,73,729,416,72,486,489,54.49408398961728,1,1,0,706300702b682ca8dfd460c136d7b941435b0744af6b7870fbee55c427195891
benign,2027,14,8aba72e5533aaf2c7e62b0a22bcef10ca8b597ce2b045683dd4489528d1d0d3d,24.817277908325195,231,33,328,198,32,223,231,23.957805080331248,1,1,0,b4900e8de953288921e5638e0582fba4e11edc8568ae2b907f200dca97bc14d4
benign,2027,15,149e6bcf771ff89fc0cf3387830bf7add1d859fec98d9f07a9d284e3c8b5cfd4,39.86412477493286,386,53,529,333,52,377,386,38.93465036308209,1,1,0,dabc1fcdf63c0ddad9c1991375a8e36ae6fbdad1e0b561722f43e791b4a4d977
benign,2027,16,3ee80dabaf97dbcfd78b5695fc00d3ba2e9e1f072ee837d2310c9aaef9d08257,22.233052968978882,132,30,291,102,29,131,132,22.06462074951692,1,1,0,287e1fe68e50d71598262171bcbdbec0b2bf443ba020daa25daf60caf43d8672
benign,2027,17,43177c162ef15f623d9e71244f9a264b48153bbbf34d9af1912e797fb9a5b863,23.902891635894775,224,32,314,192,31,220,224,23.4760542852538,1,0,0,0176572c142e16ed861edfc72e47041d149b59e843adf564a784cf439d7a8d4b
benign,2027,18,851e6439f44e55eecd8d0ae494751c927b1fe964507c75e5709fd09fb2dab402,19.39011573791504,161,26,256,135,25,155,161,18.66750272904864,0,0,0,a6a22c07af11edd3225f9db257bda44b2d10f844bceecd1815a2c83f59468d69
benign,2027,19,154c8df41aba1614e0af88f0bdbc3d2dc10e0e76789989a6c3c7c011bdb9309b,43.619584798812866,312,58,580,254,58,312,312,43.619584798812866,1,1,0,adedd24364578000386443095e24e5a6c97887280cce58d3221e915ee2ac4e07
benign,2027,20,701ed18140eeba19a6367b42a737e0777d0a5bc15b15bd59d196ae2da6d6f9b5,31.55736494064331,284,42,420,242,42,284,284,31.55736494064331,0,0,0,ae5fa154290943626750eec309094ea3409fc186d0c68f9ddfc66db212cd920a
benign,2027,21,7240d8c12e010b82e0622bcbfef7ecd4a9f53f017ae4e48a5c553406d16a5fea,12.357498407363892,82,17,158,65,15,75,82,11.302590006735267,1,1,0,bce114fa642eeb1fc612ad30ca81928481489289690f9ed29409a16a8cb8d4c2
benign,2027,22,ef98dac17ebd63387a8fae1845ba2bb83250cfd936ed87fb0305fd8a30374761,17.06730318069458,129,23,224,106,22,125,129,16.53808447741723,1,1,0,586d5df1a23b7c51d955f731c9c7c63662c85caf5c0872f52dca1867f419f46d
benign,2027,23,fe06ee435f2baa145d56dca77766523e9dc0b63062b40b042a498f3e7e4b10c4,13.287988662719727,67,18,173,49,17,64,67,12.693004095732276,1,1,0,df6d5056c2c71dc3e4c6348af9b2c3fb81aa07103053f172a3a39ce823f2de40
benign,2027,24,22cafa0b53b364100303eed8e14121d98c5e05a2687d063f5f650b1672e6572b,21.099215269088745,168,28,280,140,28,168,168,21.099215269088745,1,1,0,61559b5038cea3e99035d491e4f6317711a0b3c36cb103155dc35c75db8fc946
benign,2027,25,776216f99c34dbd04b49299583cd78f11c8c7a443d6f0288b1f8b0c092ad2091,30.036308526992798,221,40,400,181,40,221,221,30.036308526992798,1,1,0,565fbd80b1048013eb1ed375d5c32edd40703cf18b329bae1d7b10bf8eea8212
benign,2027,26,43b2c24727802a1c39e04506803752ec2e9f26cf3e894cb21b1c78188365d240,17.884810209274292,184,24,235,160,23,179,184,17.39880993184836,1,1,0,658e4dd512c57910d39881db056038cfaf33baf1d9195a99dd249f2417aa4f28
benign,2027,27,4b21e8a399668c636de5129d98d9e97e0683f311dff045f4a42e0fd2cb824094,15.843095302581787,135,21,210,114,21,135,135,15.843095302581787,0,0,0,14aed1ea1bdf1c47954f7f5f624f05682e5da96dd48326ee7496351874703b79
benign,2027,28,d24440763988694e30a619e1d7b2374adaa0d5edad6d3b3c24753f6aa9d44c64,19.205821990966797,135,26,251,109,25,134,135,19.063556642885562,1,1,0,4c9a35926cacdaa078c2459a239bf112729935d973b83a656c3c71160030254d
benign,2027,29,b41cc7b74e66b5972a8575426d0318010c05db8ff7a0549c27e9f99610ceec7b,11.024123430252075,118,15,142,103,14,116,118,10.837273880586785,1,1,0,8208d57e8ea16a21138236dece818d158bb8f566467e4fb2cf2e8d6d38da10d9
benign,2027,30,d48d64857c030e034f71da94f5e35cff47fb2a5ccd1fb851966e89a2659bb45d,25.934263944625854,251,35,341,216,34,250,251,25.830940183890295,1,1,0,0a984cfd885ee0d2607fc5df7cb8fa592578bcd21fae18e356909cb0492fea0c
benign,2027,31,2e203ecfb155ce3e67c787a3b80cb06953260d5b4373623abc67d5aa14c07490,34.95525574684143,284,47,460,237,44,272,284,33.47827310965095,1,1,0,24a724a40c2f3e07d67b1c39d94e1e02ca22da1d78735f028062becb0bf31fa0
benign,2027,32,af4f388da257aab7d2fb5431b03949fa119570d13bdffdb0bf8745795f4d39bc,8.723574876785278,75,12,111,63,11,74,75,8.607260545094809,1,1,0,be05fa4831a23874049443816eaf24af443fb685ca082b83111b6afe2895b675
benign,2027,33,885eb87ff9b444b18bec23cd44d86a1853cfc80ffdc6b382cd1aa72fc301e972,24.546459913253784,255,33,324,222,32,251,255,24.16141740481059,1,1,0,a5e9ffa73f82e667c4099bb460d1df253c812fa694855cc52d8f45b45dbd65f9
benign,2027,34,b4f3ad0e24f221d083ec0a2152090ffc3bd9714bd080a1bbac465162d4e5f6e8,13.571646213531494,149,18,179,131,17,140,149,12.751882348284626,1,1,0,2afa7fb63715e75f25997887cda5d1870b7a37b6736cde884a970927d03425d8
benign,2027,35,a27c00492da7960bf4ff718ba6c9c25bfd67127df2cac096ce03ad50de44c2b1,24.676586151123047,191,33,326,158,32,185,191,23.901405434333842,1,1,0,cd1061abc3cb05a2992d769af40cbc584664bb053a7b690a1ca705d4eb2a3752
benign,2027,36,e861738e0c5013ff1ccce47d6b4858cc47e994db2ddf49eabc832a823562e562,20.326740026474,162,27,270,135,27,162,162,20.326740026474,0,0,0,87632c452fe210c06b2522ddf1d6c8f3576bde2f68994ccf58671ab751adb04b
benign,2027,37,bfa26e430b44d5e644c4dcf9223d88ef17bbc9928fa5be31c2321d184786a1da,49.55064105987549,236,66,660,170,66,236,236,49.55064105987549,0,0,0,614a109586a63ffbcdd417e4dee6aae6140f32be040fb7a9251a9c62cafcdb47
benign,2027,38,917565ed017a384e2cbbb8ad1206a47105bb37837f70d572eecc6a88335f7d03,33.56555795669556,285,45,442,240,44,283,285,33.33001018156085,1,1,0,af96f2211f470610cdd7604edc167ea0ab517fb7d7894950869c5a7195b50c65
benign,2027,39,abc4bc90358d1be1f98e123d11516dfd785dcdae0a91b01c83f9da924181666c,42.784525871276855,366,57,569,309,56,357,366,41.73244736624546,1,1,0,558a18cc4146d09965a2990f911aa47bb026e7762ab68530adbaed69a3d52cb9
benign,2027,40,80049d4dd366051c10907157ba009f9d72e7371edc9acf571937a84637d82b6e,8.874780178070068,107,12,115,95,11,102,107,8.460070823954645,1,1,0,94aec10e1540241b3163668751095dc8be19b01d2e673a13b3b76fcc875ce80f
benign,2027,41,30384332aecb8a01dc93c256982910b4fb3e755c04f177bbe6747535ebd5bc97,26.789888858795166,194,36,353,158,34,182,194,25.13278233144701,1,1,0,372ac6cc049f9893b0bf05ebc72524aaaa626d5aded033eff62875fd16b4224f
benign,2027,42,7207f9cd655e1e79949adb7eb8a3279440c3b142f56b2fc841d933e642704242,12.096132278442383,127,16,160,111,16,127,127,12.096132278442383,1,1,0,0391c19a7ecb0a265601303cbb0c3497d2707f644593ae39773d23a95744d931
benign,2027,43,179c56c92d0315a49eeb3ce8dfebef10bb4d6ac6b2135c9fb6117c757de74ca3,48.494713306427,270,65,642,205,64,268,270,48.135493207860875,1,1,0,562855b54ad994d4309e51ec9ae9c1741901d082dd4f375e736efc5e99415a48
benign,2027,44,0c68e6790fdc82122a6bd073e5445c7d18884f0d52e244b36e2e414d4bafc243,32.37659668922424,243,43,429,200,42,234,243,31.177463478512234,1,1,0,774352a352ecd85b2b4710049508c58d3c44e40c6abb796bd6d9494de59c0c0a
benign,2027,45,9d0c43c13bd252380336e1e53a40ec42192c32ade996928088f156ec30b5f53d,30.903756856918335,295,41,410,254,41,295,295,30.903756856918335,1,1,0,49b234b7f27d5ff4abad6d9127bc8aa33228d016491a89c073c65bd5366e2dd0
benign,2027,46,4f85613ff32ec2fbba85ce3c6f89d9aa8c00d691acfaac8f1613b8fa76f9022b,104.99050664901733,438,141,1382,297,133,425,438,101.87435005897801,0,0,0,50e930fee3e49cab4361794593c77af16033cec3b1591ec6619d60ff72fb2352
benign,2027,47,d0bb365671823346050e7f62e8b76a97013f2458e21e7c812e1ae151763c4bab,34.62848472595215,358,46,460,312,46,358,358,34.62848472595215,1,1,0,98aa5d977455536031af8316ad69740e711834fb439b353f8b4d02c1e8b25cc1
benign,2027,48,a80947ed1965b3e7159b571341dbe2f803beeb5fdd360d66a38c40afc70baa8c,28.13792848587036,191,38,368,153,36,184,191,27.10669550471281,1,1,0,2b805b544dd3415bd561208dd623434a6a288cb91a870afbeab7213f02a284ba
benign,2027,49,41554f283daa02785ad598e6a957d0ad77dd608b649c5fb1ded1174de3109598,17.938353538513184,176,24,236,152,23,170,176,17.326818758791145,1,1,0,3576cf9f59882ee23c31e80ae0e32ffbac5a110187c672ab55f34011fc344251
benign,2027,50,23fdf08ce87602ede28ef4240e103f5089e507cb20da5a873e82fb1588dda333,17.154356241226196,159,23,225,136,22,154,159,16.61491107640776,1,1,0,f3fd128a9fb10e946a6a59e36046ad9ebcdfd6b4ec9a5f875ab33174f0e9886e
benign,2027,51,971dabc5c71b6706fbcb9e063b691f12effce5e1ff53254b4123d7904ab52420,30.46462893486023,219,41,401,178,40,218,219,30.3255210401805,1,1,0,3631281d12104ff9ed301701e87180aa690d7c22647c3b15b920e62e18d5d39f
benign,2027,52,ae51d9dfdc51a42de9c06bda69bba00c1a42a25f0e69cf3228df2615982b2b7b,34.44195103645325,237,46,455,191,44,230,237,33.424678221030575,1,1,0,61bbdc31975e54d08307ea9a450768dd0285b1f9677353bb4800ac771efdbe11
benign,2027,53,817cd01402b580a2b12441190df9d58b49d8f355ae76650d0deba60614067c3a,26.164987564086914,233,35,345,198,34,228,233,25.603507144256724,1,1,0,829f6bc13d005f993fdb201edee3aa29295c3088af21c957326a0536f9d4a307
benign,2027,54,13e140ab86daaa95907a1336e9956e8b9ba84bb7d22a4e830e4b5b91c577b6c1,15.609758138656616,128,21,204,107,20,124,128,15.121953196823597,1,1,0,5a3df44e77ae2755af7cc2d235ce890001ad1aa669329c7a33dce0a19985884b
benign,2027,55,07836807c799f44f985d68c5ac193129be1a909f70dd66f3ca725237c70d21d0,11.711453914642334,83,16,150,67,14,74,83,10.441537225102804,1,1,0,f4deee6cecb47d26f65e1403d0aacc221653cbfe56000699119a2861a3731b0f
benign,2027,56,0dd2f0349ad536b73d1628c7a8ba96eae512476c34cb8f1c105017e1597b15dd,13.135207414627075,81,18,169,63,16,73,81,11.837902978614524,1,1,0,5e73add1a9a55d2ed0907c44ad87b3a7b1a16d8c362a0cd7ed19b668c1814df7
benign,2027,57,08b78a955d65a516d71029ff129278b6417030e46ee9ee427c64050e4588e306,30.75639820098877,241,41,407,200,39,229,241,29.224959286416716,1,1,0,322dcaedfab4dddfcc67e7d1e5e8bb4081c5805917c9fdddbd5e533743c1d233
benign,2027,58,92f2d98be649fba50e5e505aa5f7c10a19c95fee4c992f52b0ddb2abfa293dfc,30.856042623519897,245,41,410,204,41,245,245,30.856042623519897,1,1,0,4ea091a7b29cf10d8914bef55936b5ffc8f1fb39cef681d5ec5269ac88b14d3f
benign,2027,59,647821b44f949ee263abd388fe3734251e02bf9de21bef6d6d58c711eef32b8d,18.065627574920654,148,24,239,124,23,139,148,16.967042114283586,1,1,0,8ea2ec3ad58c0334a9097e8e8679d70e1eea509d859372a33e91145e9bd12d24
benign,2027,60,97d5219c26d5f213d15d38a29da0327a429a3e1defe4b80b945bd3c78c273b8e,16.217750787734985,116,22,211,94,21,115,116,16.077942591288995,1,1,0,1f40db2d0d2017249c167e86af919551e178baeedc5817f495f6d89cc68363a9
benign,2027,61,53d5c3c6c081dc8b1074463a29c313de0684581c634cd19bdfa17474f0899a62,19.527276515960693,179,26,259,153,25,170,179,18.54545814364982,1,1,0,6b6b2f55b24a57292155d87b9e6906e2663a89c0bee354b24eba6a87a03aae7d
benign,2027,62,b8ef5dec533b9ddba8774b4d1a36a370d8bba70e5962bb515cc895c3bb88103a,60.48905038833618,287,81,801,206,80,286,287,60.27828714656498,1,0,0,ac3e8dd58908c03c95b3b52e839cf6ea9b0bacc1552170324ac7e4b16d923b3e
benign,2027,63,09a1f6f4ccc6a195576515c83ba810036e3563e2b2ed1881c13c90f5ffc37f1a,28.459540367126465,242,38,377,204,36,238,242,27.98913474122355,1,1,0,317b69bdff300b03890702e3e4768e4e64805de48e03a0a890fe0bef997eba08
benign,2027,64,b5dd77cc4ccd0cca4520096ab6de91066bd8cf94a356a9389f4c7dd76750d8ee,24.49695372581482,224,33,321,191,32,223,224,24.387592325253145,1,1,0,8e13b3a9be78e8690027ac809a138676a617dca821897b41dfd880cfdb1bac2e
benign,2027,65,78eb7e05b9b667acd8b52f673e2506b36ef073f7b26e85eb1a9ad2dae04df331,20.8980872631073,167,28,275,139,27,162,167,20.272396027684927,1,1,0,460379a29c481b9d5bfcdc845e6fe3235d66d6854c88335674e091bac0c45101
benign,2027,66,60b3bdde0ef3178112ad091b3d5ce77be3cb7df9256a3027ce12479e80b43d80,15.97521424293518,126,22,205,104,20,122,126,15.468064584429301,1,1,0,c9e7a192cc8a827d9eec8dccd0efa0a17c2174330dc0aeb16c088ce1acd2a3e4
benign,2027,67,213b455e43607094e6ea5fd1da8f3f35ad606004febda7c903b665296c9d555a,22.496543645858765,207,30,297,177,29,200,207,21.73579096218238,1,1,0,ae5647e9e087e013adbbfc305154e7c5eb41d90b5c676b3bc78c75842689f48d
benign,2027,68,c3a98d978c2bb7d406c7abffb21c12dd9eb7711638c7f6ddce23024c0fb632f6,17.786303758621216,160,24,233,136,23,157,160,17.452810563147068,1,1,0,da3bd12f0a0696690bd392d2c360199efe76b8ccf40d9552caf714fb087183ab
benign,2027,69,1b7fa8e51258ba2cf0fd72b44f52cff7ec20258f56da314edac72842eb02f6e4,14.267394304275513,94,19,189,75,18,85,94,12.901367190036368,1,1,0,d9e363828b6ba7386a59677707874561ac522393c7639f8f149987d6eab5dbb6
benign,2027,70,a1e05c1512a24d6227fab529b40972a4ec15995fc0ca7ee8c1ff50361491114e,32.094261169433594,246,43,423,203,42,243,246,31.70286774053806,1,0,0,f6e18ba34a494bda1c0de6ecbe61bb662dc4e95dcd20cb335ff679b84896c8e6
benign,2027,71,a80a2f35ac31460e8b2875d6f76da679d74176e30990f0fd1d2bdd91a8f76ee6,11.205649375915527,95,15,147,80,14,88,95,10.37996994821649,1,1,0,9efa27376c9778c80ff46845f5f0ce52bb7125d18f3add486d668b684344c5de
benign,2027,72,bfd3566a5a978c0c7b052db32e6d037d44175c41da0f38f5cfec0ccc5e77b179,19.55556607246399,162,26,259,136,25,153,162,18.469145735104878,1,1,0,26e23fb40c1f24b7b2666b80590a2c4982f1555ae49727457c18229ffa986ed2
benign,2027,73,039b584a1bcb7af96a16461fc5a6863404331c03187ec56d1135f1eb26b8f1c3,24.90532636642456,227,33,330,194,33,227,227,24.90532636642456,0,0,0,83b7e50334712861711c2fd502f2d6f1e1d2c6446ac2c43559c540364cb3a49f
benign,2027,74,3648f6a30167875e37d01576e277c35c117cb04c9585599661d59aadee37d391,29.04528546333313,300,39,382,261,38,298,300,28.85165022691091,1,1,0,a77f0a843adf781cd3839ab23aa7b23e37f4ffb83edaba9b7a5f35a8c382a94f
benign,2027,75,b4e8c56a805f1fcc484b8e03e6074c43f4b7c5df6dc44df00983e12a04144959,40.52095580101013,357,54,540,303,54,357,357,40.52095580101013,1,1,0,2e89c49bdb027405df6740e0b957c443f0c67d97af885fcbb6944cf5f5dcd7d8
benign,2027,76,d773e7952a94ec27388fbffc27db2d4920a3ac747e39146b7a2bd7e5072e79f8,40.16595983505249,317,54,531,263,53,316,317,40.039253337150114,1,1,0,19d8872e88e3b3f85c8f66fdf9d3de602a78b227277280ab8c7229b04aecceb8
benign,2027,77,100d7f43fdf5ead90d91c008ff476d016d2159d3877d4a98e664df4bb92ca70f,13.89536452293396,144,19,181,125,18,143,144,13.798868935969141,1,1,0,6b74d66e3d3a5fa87302d0b12cd960a576375fb9dfeef527ff64edad9bf76cf8
benign,2027,78,96b496fa124d5d45b285d43871563e5098178881a40c111235b70f8e7f14fd51,26.719008922576904,235,36,353,199,35,232,235,26.37791519165039,1,1,0,367db4d89629b2f9a141b7dae0387f84aa4e85ef1e80ae385613171cbcb146e0
benign,2027,79,40c374ea90760ff260995cbb7e2149ee9fc7962c732a5708a2154596540e8e59,9.05028772354126,71,12,120,59,12,71,71,9.05028772354126,1,1,0,48b54a1262621a500def3d979414e37a66e9efc6aeecb11946611ad31dc24046
benign,2027,80,7d0805096549d33a103907c32627162d154f3f5feafc9086fb9c6fffeb525fa4,30.04889965057373,268,41,396,227,38,256,268,28.703426531891324,1,1,0,b60d05810ffcaa7b0a34c26f76d97e6b247cf1dbd448667e3bb9600ada1fd0dd
benign,2027,81,5bcf7f5517b45dc3f3ac254874a4247161dc29d8df56510abd921338954cfe9b,15.803953170776367,127,22,203,105,20,125,127,15.555072018480676,1,1,0,9cafe5c6bf5c4a7058119d4458d31bc074c59b59fff97bcc1b2ddb433ca4f918
benign,2027,82,ad6ac817d85d7f018d9bcd3a8d998254ad1de3c1b45182d58c41fd9c50dbc05d,17.606956720352173,144,24,231,120,23,143,144,17.48468618757195,1,1,0,b52816265b198e083add2c96245745e30d5684624496cd8a188efa14e26ae8fd
benign,2027,83,ab4a06b6df0789c8a6719edc5e477e6b623f899bc29b4da6b0206fbed668bcd1,8.211580991744995,78,11,108,67,10,70,78,7.369367556694226,1,1,0,6b831f50feedda46cce5eb0c9d877a591c20d8ae68d4449f0517d2986ce9e893
benign,2027,84,44dd3e215ad9081a9fcfdf41640715dc730d53730f3ac451f3f5b2954f6988bb,25.456954956054688,238,34,340,204,34,238,238,25.456954956054688,1,1,0,e8ee5b806a0551e96b4a2ba9cd18c15bc653beecb3828c67a1c777eef72dfcce
benign,2027,85,94c5beec9be8ef681c69764b01b26cb8b78c5c014829904c6496fc1249c9c2c9,14.137118101119995,91,19,187,72,18,84,91,13.049647477956919,1,1,0,20e4bc058b0770ab63e6d887dc84342d6c052a77c2ab6f81ad21ef11db961e69
benign,2027,86,52e0be8f2f464344820ed57a88e7062840e8d02099f40fe4be3dc527f0229c03,15.339622259140015,143,21,200,122,19,136,143,14.588731659042251,1,1,0,151d0b7ea87181083b7a2440fa5f7720138b3f60867eac6eee88a2779adc515d
benign,2027,87,00d8d602ce43bb4c99294d3258c6ac97d2ea978ea9a83131efa7e60725e2fe39,50.771934270858765,382,68,680,314,68,382,382,50.771934270858765,0,0,0,1638f22a12856f499a9d7d17d90498d3b4f8fb03d85024dae9835ccc1a440bc5
benign,2115,88,4240e2d1bb84639f412d72b13419a6ceef1e2e2023fe76db612beb7cc89112d1,24.960859060287476,177,27,265,150,26,172,177,24.255750047285005,1,0,0,19b7a6fb96d1b5e62e0b08899615b85a26733601ea9929c010d6da3b3d399572
benign,2115,89,016b7006ad5b0ff11254e7455223b767cc58025364a3a19065e50a18fcd6b790,22.64659595489502,142,30,291,112,28,132,142,21.051765253846074,0,0,0,f57242d0174cca93c093e8457ff3d9ec63c07186639d5b2f922a7822d80b1244
benign,2115,90,ad1d19650dbf3fe69595f5a01df751d8018f2265732c1b0b39401767cc78c54d,20.654955863952637,182,27,268,155,26,174,182,19.747045716086586,1,1,0,1a1d638ca4cc28ac496183655449a6e5ac52f6975c5cdff846618babfb9f1d49
benign,2115,91,b921f344bdd631db8f5bf33080152f83e0ab50125e8a6577be1f1eba8b2292fd,17.37042498588562,158,23,223,135,22,155,158,17.040606789951084,1,1,0,8ef66015e543ba0b5248327d1cd04c372ff1a3976304c64cba664159ae84dd96
benign,2115,92,30e10116f95bb87840ace44d50ad933c09d0937a25baa8d8f80c76bd7535350a,16.12534499168396,112,21,210,91,21,112,112,16.12534499168396,1,1,0,1666c09aabb69c6a1c185ffcbdd3898c5e84d3716bd58d29c8c3035f4e01408f
benign,2115,93,d362889745c00cc131020ce61c3cc48a6b09d9d48f6750d903ef1409d29d9950,38.610817193984985,226,51,499,175,49,220,226,37.58575125078185,1,1,0,bde59ba7af735f02278ce8c8813f8aa26401417c9df4fcca4d15ce7cf16c4367
benign,2115,94,7725c031d1e3d5a4eabf9580c6ced5a6655a53803112b99863c9b0d56529bc7a,25.13895606994629,260,33,326,227,32,254,260,24.55882631448599,1,1,0,4912c4499a0c888e231547358454f610b6c3eedd8f8e26d0e1418f8d1c97ffff
benign,2115,95,91d8efcfd39ceb216a8247809386a4734e6a906cf97fd2e97e1983d7840e666f,18.49594235420227,167,25,234,142,22,156,167,17.27764675003326,1,1,0,6a99cf48ebc9ed5944785b9d19783c9d0e50a36978f3bf28667ecd64855c072c
benign,2115,96,e622abbc7c795ad663b1f96d0b45cba829d6f767820300814ee6535269344e6c,9.899486303329468,92,13,127,79,12,85,92,9.146264519380486,1,1,0,1fe16abe6fcb6ef26e70a5270f13fbf252f8ce069f7589ef76732f3c5a4c9ece
benign,2115,97,a91423e87578c297e7622dd48b5d926341d78204dc53a223523f959090831b95,43.911112546920776,227,58,569,169,55,215,227,41.589820253691485,1,1,0,0db48b1e256f02c9d9b81dbfd9a49b8cdec35e990358e00835e057d69d28d6ed
benign,2115,98,20392eb4e714442f48f9afb981a1705324e9d15ccf8a84043ae73cac4d439d43,30.58181381225586,228,40,398,188,39,220,228,29.508767713580216,0,0,0,2121bb198f7c35a567bf195caa632376906bea916bcd7d4fb562080565a1a707
benign,2115,99,06d0657a08d5164257b70fa6d622d5ef73a8d9e8934a605c71d792c52d303983,22.75225257873535,193,30,294,163,28,184,193,21.691266707188106,1,1,0,7db854bd1ffa076a6f8a392552c380e97ee511b11c488600a093369ec281a669
benign,2115,100,1c606349bd458f0d6194ffcfa35022c89a415f1535609172a34d9e18405fe1e8,25.81953716278076,254,34,334,220,33,250,254,25.412930278327522,0,0,0,8d8f2da4cb70c1e0a4f087a811c100810fe6b273f44a639b00001328daf5d410
benign,2115,101,5553251d23b7535495707b2352591855336801f615360b5b990ff9257ddd5995,16.352084398269653,149,22,207,127,19,137,149,15.035138003778137,0,0,0,8e0c907a6f1d905e4bd95328a9109486827df491efd10f4be359a32dd87e3095
benign,2115,102,fecc3d4d9ba43ef7e285c47e39c351c559d0981c90b2198d3ebf264bfeba96ca,37.428656816482544,212,49,488,163,48,204,212,36.016254672464335,1,1,0,cb7eafc7e0fe0cda905a502cdd8409f231e563c37fc3cea94a7709960aecf269
benign,2115,103,7d885e090e8039cfaad017c988198b576bb4cee2ebe89f2443289799b6b7f3ea,16.547038793563843,136,22,212,114,20,127,136,15.452014167519177,1,1,0,dfcf21e0525635e62da171669a87288f35b67cea9adf6a71a5f5b94825adbc17
benign,2115,104,5fc2275d46da83d937ed7c00a96626532769cdad1eb433318459396c18728d43,26.046669006347656,207,34,340,173,34,207,207,26.046669006347656,1,1,0,eeeed2d8daf40d25828b32726a15383ba8e913e06f20b16bf23aac2fb3e29bfb
benign,2115,105,f21bbb967500678808f0de4e3a3ea501da595f01650fdf9f9ffb954dd2d37ce8,8.370503664016724,64,11,107,53,10,57,64,7.4549798257648945,1,1,0,db4cb5808b3b20fdff5979d411a6b79e002dd37af7cb14dfbc4162c4f427f688
